Month,Fuel Oil Consumption,Asphalt and Road Oil Product Supplied,Cooling Degree Days U.S. Average,Heating Degree Days U.S. Average 
2000-01,0.82,0.24,9,883
2000-02,0.81,0.33,11,640
2000-03,0.56,0.38,28,498
2000-04,0.46,0.44,29,346
2000-05,0.4,0.64,135,126
2000-06,0.37,0.74,218,32
2000-07,0.32,0.7,283,14
2000-08,0.4,0.81,299,14
2000-09,0.44,0.71,154,75
2000-10,0.5,0.62,50,252
2000-11,0.61,0.45,10,618
2000-12,0.87,0.26,5,995
2001-01,0.97,0.27,4,929
2001-02,0.87,0.27,14,720
2001-03,0.74,0.32,13,663
2001-04,0.55,0.44,40,311
2001-05,0.4,0.58,118,124
2001-06,0.36,0.74,218,32
2001-07,0.36,0.74,300,10
2001-08,0.38,0.8,330,7
2001-09,0.39,0.66,138,74
2001-10,0.47,0.68,47,271
2001-11,0.56,0.48,21,411
2001-12,0.65,0.24,12,704
2002-01,0.77,0.28,10,785
2002-02,0.69,0.31,7,672
2002-03,0.58,0.35,18,629
2002-04,0.45,0.47,52,296
2002-05,0.38,0.59,90,196
2002-06,0.33,0.68,235,27
2002-07,0.34,0.73,361,4
2002-08,0.34,0.75,321,10
2002-09,0.36,0.66,195,43
2002-10,0.49,0.59,56,310
2002-11,0.6,0.47,12,567
2002-12,0.79,0.26,6,819
2003-01,0.96,0.27,5,948
2003-02,0.88,0.32,9,806
2003-03,0.68,0.31,25,580
2003-04,0.52,0.44,31,360
2003-05,0.39,0.53,108,177
2003-06,0.36,0.66,182,45
2003-07,0.36,0.72,331,5
2003-08,0.36,0.71,335,6
2003-09,0.44,0.69,152,67
2003-10,0.52,0.64,64,266
2003-11,0.54,0.45,23,490
2003-12,0.76,0.3,5,792
2004-01,0.97,0.27,7,968
2004-02,0.84,0.29,8,766
2004-03,0.63,0.4,29,498
2004-04,0.49,0.53,29,312
2004-05,0.35,0.56,135,117
2004-06,0.34,0.69,202,41
2004-07,0.32,0.74,294,9
2004-08,0.36,0.79,248,22
2004-09,0.39,0.72,171,53
2004-10,0.46,0.61,68,260
2004-11,0.55,0.49,19,497
2004-12,0.73,0.36,6,802
2005-01,0.79,0.33,11,855
2005-02,0.75,0.3,9,674
2005-03,0.65,0.39,14,647
2005-04,0.42,0.45,25,315
2005-05,0.38,0.57,83,192
2005-06,0.35,0.83,244,31
2005-07,0.3,0.68,365,4
2005-08,0.37,0.77,345,8
2005-09,0.38,0.67,209,43
2005-10,0.41,0.63,56,243
2005-11,0.54,0.6,21,473
2005-12,0.73,0.32,6,863
2006-01,0.7,0.3,14,688
2006-02,0.75,0.33,6,724
2006-03,0.65,0.41,21,603
2006-04,0.39,0.51,55,275
2006-05,0.32,0.63,109,143
2006-06,0.28,0.71,233,26
2006-07,0.26,0.66,382,3
2006-08,0.3,0.74,329,12
2006-09,0.3,0.67,134,87
2006-10,0.37,0.59,47,311
2006-11,0.44,0.48,15,476
2006-12,0.49,0.2,13,692
2007-01,0.74,0.35,12,840
2007-02,0.92,0.29,7,840
2007-03,0.66,0.37,32,500
2007-04,0.47,0.46,25,374
2007-05,0.32,0.51,118,118
2007-06,0.25,0.64,232,28
2007-07,0.22,0.65,307,7
2007-08,0.24,0.65,362,9
2007-09,0.23,0.61,187,50
2007-10,0.29,0.6,81,183
2007-11,0.46,0.46,18,522
2007-12,0.63,0.35,14,798
2008-01,0.75,0.35,8,886
2008-02,0.73,0.3,13,729
2008-03,0.55,0.3,20,611
2008-04,0.35,0.36,32,326
2008-05,0.23,0.46,93,189
2008-06,0.2,0.57,262,30
2008-07,0.19,0.56,331,7
2008-08,0.21,0.52,281,15
2008-09,0.25,0.53,171,56
2008-10,0.36,0.47,49,284
2008-11,0.45,0.31,13,535
2008-12,0.7,0.27,10,826
2009-01,0.85,0.2,8,951
2009-02,0.7,0.28,8,694
2009-03,0.54,0.3,20,578
2009-04,0.33,0.3,31,334
2009-05,0.2,0.37,118,137
2009-06,0.17,0.51,222,44
2009-07,0.15,0.5,286,15
2009-08,0.14,0.54,303,15
2009-09,0.21,0.46,169,62
2009-10,0.31,0.38,49,332
2009-11,0.34,0.29,18,447
2009-12,0.61,0.2,8,871
2010-01,0.74,0.2,4,927
2010-02,0.71,0.25,3,808
2010-03,0.4,0.26,9,551
2010-04,0.21,0.33,36,272
2010-05,0.16,0.38,128,141
2010-06,0.14,0.52,283,31
2010-07,0.11,0.47,375,6
2010-08,0.13,0.54,351,9
2010-09,0.17,0.46,195,53
2010-10,0.26,0.43,55,237
2010-11,0.38,0.29,15,525
2010-12,0.68,0.2,3,901
2011-01,0.76,0.22,6,953
2011-02,0.68,0.25,10,741
2011-03,0.46,0.28,25,581
2011-04,0.26,0.31,54,314
2011-05,0.13,0.36,107,158
2011-06,0.11,0.45,259,39
2011-07,0.1,0.46,404,7
2011-08,0.12,0.54,350,9
2011-09,0.18,0.46,175,57
2011-10,0.25,0.42,50,256
2011-11,0.39,0.3,18,473
2011-12,0.49,0.19,11,724
2012-01,0.61,0.2,12,762
2012-02,0.51,0.22,13,629
2012-03,0.32,0.23,49,381
2012-04,0.19,0.33,49,292
2012-05,0.14,0.38,155,99
2012-06,0.1,0.46,233,32
2012-07,0.09,0.46,401,5
2012-08,0.11,0.5,328,9
2012-09,0.13,0.44,174,61
2012-10,0.22,0.37,55,262
2012-11,0.39,0.28,14,540
2012-12,0.48,0.2,11,699
2013-01,0.66,0.22,15,828
2013-02,0.61,0.21,11,733
2013-03,0.44,0.24,11,660
2013-04,0.27,0.29,34,348
2013-05,0.14,0.31,100,136
2013-06,0.1,0.41,245,26
2013-07,0.1,0.45,338,5
2013-08,0.11,0.46,288,12
2013-09,0.15,0.46,177,59
2013-10,0.24,0.38,56,257
2013-11,0.39,0.26,18,572
2013-12,0.58,0.18,13,829
2014-01,0.74,0.19,7,970
2014-02,0.67,0.21,12,799
2014-03,0.51,0.22,15,683
2014-04,0.25,0.28,37,325
2014-05,0.13,0.35,113,127
2014-06,0.1,0.4,243,28
2014-07,0.11,0.47,301,10
2014-08,0.12,0.46,292,13
2014-09,0.19,0.45,183,58
2014-10,0.26,0.39,74,221
2014-11,0.44,0.26,11,614
2014-12,0.57,0.25,10,706
2015-01,0.71,0.2,9,890
2015-02,0.83,0.21,7,867
2015-03,0.49,0.22,29,584
2015-04,0.27,0.3,53,300
2015-05,0.15,0.34,126,119
2015-06,0.1,0.47,255,24
2015-07,0.1,0.48,336,6
2015-08,0.12,0.51,315,11
2015-09,0.18,0.47,223,32
2015-10,0.29,0.4,77,227
2015-11,0.35,0.29,30,445
2015-12,0.45,0.21,26,581
2016-01,0.63,0.19,8,871
2016-02,0.62,0.23,11,628
2016-03,0.38,0.25,35,450
2016-04,0.26,0.3,43,309
2016-05,0.16,0.39,97,151
2016-06,0.1,0.48,271,21
2016-07,0.08,0.47,383,6
2016-08,0.11,0.52,362,6
2016-09,0.15,0.44,220,39
2016-10,0.25,0.42,87,198
2016-11,0.35,0.31,26,418
2016-12,0.59,0.2,17,783
2017-01,0.61,0.19,16,767
2017-02,0.52,0.24,21,548
2017-03,0.47,0.26,32,544
2017-04,0.23,0.32,56,248
2017-05,0.16,0.37,105,155
2017-06,0.12,0.48,240,25
2017-07,0.1,0.44,363,5
2017-08,0.12,0.53,291,15
2017-09,0.16,0.46,203,54
2017-10,0.28,0.42,61,256
2017-11,0.37,0.31,20,502
2017-12,0.52,0.24,10,787
2018-01,0.6,0.23,11,865
2018-02,0.55,0.24,11,697
2018-03,0.36,0.27,23,565
2018-04,0.22,0.34,43,311
2018-05,0.13,0.36,126,139
2018-06,0.08,0.48,249,31
2018-07,0.08,0.5,361,7
2018-08,0.11,0.53,338,9
2018-09,0.16,0.49,188,56
2018-10,0.26,0.43,70,245
2018-11,0.35,0.32,22,488
2018-12,0.51,0.25,11,785
